date,time,elapsed_min,session_min,stocks,volume,value
2026-08-28,17:14,390,390,2741,766083072,24583970081448
2026-08-29,16:33,390,390,2741,773086765,26241137174055
2026-08-31,16:33,390,390,2747,839631288,31654717282276
2026-09-01,16:33,390,390,2748,833728510,21929229950932
2026-09-02,16:33,390,390,2746,846805916,23517471007452
2026-09-03,16:33,390,390,2735,956830722,23565583623746
2026-09-03,20:15,390,390,2735,1040070608,26906093001958
2026-09-03,20:51,390,390,2735,1040070608,26906093001958
2026-09-03,21:13,390,390,2735,1040070608,26906093001958
2026-09-03,22:03,390,390,2735,1040070608,26906093001958
2026-09-03,22:18,390,390,2735,1040070608,26906093001958
2026-09-03,22:33,390,390,2735,1040070608,26906093001958
2026-09-03,22:48,390,390,2735,1040070608,26906093001958
2026-09-03,23:03,390,390,2735,1040070608,26906093001958
2026-09-03,23:18,390,390,2735,1040070608,26906093001958
2026-09-03,23:33,390,390,2735,1040070608,26906093001958
2026-09-03,23:48,390,390,2735,1040070608,26906093001958
2026-09-04,09:03,3,390,2735,1040070608,26906093001958
2026-09-04,09:18,18,390,2735,1040070608,26906093001958
2026-09-04,09:33,33,390,2735,128362416,2494199211890
2026-09-04,09:48,48,390,2735,187590038,3987184593975
2026-09-04,10:03,63,390,2735,233158617,5154637955336
2026-09-04,10:18,78,390,2735,265393170,6212257083128
2026-09-04,10:33,93,390,2735,297703571,6992086706882
2026-09-04,10:48,108,390,2735,322184929,7657959969021
2026-09-04,11:03,123,390,2735,344596112,8217350160171
2026-09-04,11:18,138,390,2735,363528186,8898318674852
2026-09-04,11:33,153,390,2735,388983333,9484044888213
2026-09-04,11:48,168,390,2735,406450277,10024432530046
